Student ID,student_name,gender,year,school_name,reading_score,maths_score
0,Paul Bradley,M,9,Huang High School,96,94
1,Victor Smith,M,12,Huang High School,90,43
2,Kevin Rodriguez,M,12,Huang High School,41,76
3,Richard Scott,M,12,Huang High School,89,86
4,Bonnie Ray,F,9,Huang High School,87,69
5,Bryan Miranda,M,9,Huang High School,88,93
6,Sheena Carter,F,11,Huang High School,73,60
7,Nicole Baker,F,12,Huang High School,69,64
8,Michael Roth,M,10,Huang High School,94,66
9,Matthew Greene,M,10,Huang High School,64,77
10,Andrew Alexander,M,10,Huang High School,50,66
11,Daniel Cooper,M,10,Huang High School,66,89
12,Brittney Walker,F,9,Huang High School,76,81
13,William Long,M,9,Huang High School,73,88
14,Tammy Hebert,F,10,Huang High School,80,79
15,Jordan Carson,M,11,Huang High School,86,46
16,Donald Zamora,M,9,Huang High School,49,93
17,Kimberly Santiago,F,9,Huang High School,64,93
18,Kevin Stevens,M,9,Huang High School,68,94
19,Brandi Lyons,F,9,Huang High School,60,55
20,Lisa Davis,F,10,Huang High School,48,72
21,Kristen Lopez,F,10,Huang High School,93,87
22,Kimberly Stewart,F,11,Huang High School,39,69
23,Christopher Parker,M,9,Huang High School,63,51
24,Chelsea Griffith,F,11,Huang High School,94,96
25,Cesar Morris,M,9,Huang High School,88,91
26,Melanie Decker,F,9,Huang High School,51,96
27,Tracey Oconnor,F,10,Huang High School,79,84
28,Kelly James,F,11,Huang High School,97,83
29,Nicole Brown,F,12,Huang High School,94,39
30,Bobby Harris,M,9,Huang High School,72,87
31,Brian Fernandez,M,10,Huang High School,56,60
32,Candace Phelps,F,11,Huang High School,57,45
33,Amy Gonzalez,F,12,Huang High School,89,40
34,Steven Green,M,11,Huang High School,41,63
35,Benjamin Carlson,M,10,Huang High School,43,52
36,Kevin Bailey,M,10,Huang High School,97,39
37,Jesse Newton,M,10,Huang High School,73,42
38,Kimberly Mercado,F,12,Huang High School,45,56
39,Gregory Roberts,M,9,Huang High School,66,98
40,Matthew Mayer,M,9,Huang High School,56,66
41,Jennifer Parks,F,11,Huang High School,45,43
42,John Carlson,M,9,Huang High School,63,59
43,Megan Roberts,F,9,Huang High School,59,89
44,Debra Flores,F,10,Huang High School,57,63
45,Heidi Jackson,F,11,Huang High School,74,55
46,Denise Bradford,F,12,Huang High School,58,92
47,Ellen Brown,F,11,Huang High School,44,50
48,Amy Perkins,F,9,Huang High School,39,72
49,Natalie Mitchell,F,10,Huang High School,65,39
50,Tiffany Gutierrez,F,10,Huang High School,70,47
51,Jennifer Hess,F,11,Huang High School,50,70
52,Christine Fletcher,F,12,Huang High School,66,55
53,Jon Smith,M,9,Huang High School,64,77
54,Tracey Yates,F,9,Huang High School,47,61
55,Jerry Gordon,M,12,Huang High School,91,86
56,Michael Cox,M,11,Huang High School,45,64
57,Madeline Snyder MD,F,9,Huang High School,99,91
58,Allison King,F,11,Huang High School,80,74
59,Theresa Meyer,F,9,Huang High School,67,53
60,Jared Wood,M,9,Huang High School,86,84
61,Eric Maynard,M,9,Huang High School,93,53
62,Mark Owens,M,11,Huang High School,81,62
63,Ronnie Conley,M,11,Huang High School,83,97
64,Kimberly Davis,F,12,Huang High School,42,67
65,Amy Mitchell,F,11,Huang High School,81,91
66,Mr. Dylan Taylor MD,M,10,Huang High School,66,54
67,Elizabeth Henderson,F,12,Huang High School,96,62
68,James Lopez,M,12,Huang High School,42,90
69,Michael Morgan,M,11,Huang High School,93,68
70,Angela Francis,F,12,Huang High School,39,74
71,Breanna Taylor,F,10,Huang High School,56,97
72,Jason Johnson,M,12,Huang High School,77,77
73,Kyle Martin,M,10,Huang High School,57,74
74,Scott Gill,M,10,Huang High School,74,45
75,Lisa Long,F,10,Huang High School,86,50
76,Erin Liu,F,9,Huang High School,84,75
77,Marcus Richards,M,12,Huang High School,57,53
78,Jason Thompson,M,12,Huang High School,62,87
79,Elizabeth Mckinney,F,9,Huang High School,98,78
80,Jessica Bailey,F,10,Huang High School,77,73
81,Lisa Frye,F,12,Huang High School,87,73
82,Lindsey Baker,F,11,Huang High School,54,98
83,Lisa Ramirez,F,12,Huang High School,58,68
84,Joseph Butler,M,10,Huang High School,70,68
85,Tina Lynch,F,10,Huang High School,67,42
86,Leah Benitez,F,10,Huang High School,94,50
87,Elizabeth Parker,F,10,Huang High School,71,57
88,Melissa Hunter,F,10,Huang High School,41,67
89,Miss Madison Everett,F,11,Huang High School,92,61
90,Ronald Garcia,M,9,Huang High School,80,47
91,Mark Cherry,M,10,Huang High School,68,39
92,Ryan Stokes,M,9,Huang High School,86,39
93,Isaiah Maldonado,M,10,Huang High School,62,47
94,Micheal Dennis,M,12,Huang High School,44,48
95,Kevin Martinez,M,11,Huang High School,43,89
96,Jessica Smith,F,9,Huang High School,55,49
97,Dawn Trujillo,F,11,Huang High School,49,89
98,Virginia Ramirez MD,F,10,Huang High School,66,95
99,Marc Hernandez,M,10,Huang High School,89,66
100,Jose Gonzalez,M,12,Huang High School,48,46
101,Jason Dennis,M,10,Huang High School,68,40
102,Gary Morris,M,11,Huang High School,82,99
103,William Mcdonald,M,12,Huang High School,43,51
104,Michael Savage,M,9,Huang High School,46,69
105,Alexis Todd,F,11,Huang High School,44,61
106,David Hansen,M,10,Huang High School,83,47
107,Steven Mendez,M,12,Huang High School,44,94
108,Ryan Lynch,M,12,Huang High School,76,59
109,Timothy Marks,M,9,Huang High School,51,45
110,Alexander Johns,M,10,Huang High School,95,65
111,Kenneth Chavez,M,9,Huang High School,81,84
112,Dennis Williams,M,10,Huang High School,56,52
113,Michael Roy,M,12,Huang High School,79,76
114,Richard Ryan,M,12,Huang High School,79,52
115,Matthew Reyes,M,12,Huang High School,84,68
116,Stephanie Ward,F,11,Huang High School,58,42
117,Christopher Tucker,M,10,Huang High School,85,66
118,Daniel Jones,M,12,Huang High School,95,61
119,Devin Craig,M,10,Huang High School,61,46
120,Erin Prince,F,12,Huang High School,73,95
121,Bernard Ortiz,M,11,Huang High School,51,87
122,Nicole Miller,F,10,Huang High School,46,62
123,Christopher Fritz,M,9,Huang High School,42,78
124,Bonnie Mckinney,F,11,Huang High School,91,77
125,Troy Nelson,M,11,Huang High School,82,46
126,Jennifer Lee,F,12,Huang High School,74,41
127,Ronald Ward,M,10,Huang High School,58,46
128,Nathaniel Hampton,M,11,Huang High School,87,71
129,Michael Travis,M,11,Huang High School,52,99
130,James Taylor,M,9,Huang High School,78,45
131,Thomas Strickland,M,9,Huang High School,46,69
132,Brittany Jackson,F,9,Huang High School,98,42
133,Marisa Lowe,F,9,Huang High School,40,76
134,Nicole Thomas,F,9,Huang High School,78,86
135,Matthew Rodriguez,M,12,Huang High School,53,41
136,Kent Fernandez,M,12,Huang High School,51,98
137,Michelle Martin,F,12,Huang High School,44,45
138,John Sparks,M,9,Huang High School,94,66
139,Ann Blake,F,11,Huang High School,74,68
140,Melissa Miller,F,12,Huang High School,87,47
141,Steven Houston,M,9,Huang High School,70,69
142,Kristen Anderson,F,11,Huang High School,75,67
143,Cory Jones,M,11,Huang High School,99,61
144,Jennifer Mora,F,10,Huang High School,83,53
145,Dennis Griffin,M,9,Huang High School,54,72
146,Darryl Brown,M,10,Huang High School,48,58
147,Martin Mosley,M,10,Huang High School,80,75
148,Joyce Diaz,F,10,Huang High School,50,81
149,Jeffrey Rose,M,12,Huang High School,68,89
150,Jamie Moreno,F,9,Huang High School,96,57
151,Catherine Williams,F,9,Huang High School,88,87
152,Lauren Byrd,F,11,Huang High School,84,73
153,Vanessa Frazier,F,10,Huang High School,58,40
154,Stephen Bryant,M,11,Huang High School,73,50
155,Lawrence Liu,M,12,Huang High School,68,78
156,Joseph Larsen,M,9,Huang High School,44,90
157,Susan Collier,F,11,Huang High School,83,94
158,Meagan Jensen,F,9,Huang High School,60,60
159,Julie Harper,F,12,Huang High School,71,41
160,Meghan Carroll,F,12,Huang High School,85,72
161,Wanda Horton,F,11,Huang High School,89,44
162,Mary Campbell,F,10,Huang High School,58,69
163,Jennifer Rodgers,F,11,Huang High School,98,39
164,Heather Cooper,F,12,Huang High School,79,50
165,Ryan Perez,M,11,Huang High School,53,87
166,Ryan Cox,M,12,Huang High School,87,97
167,Darren Zavala,M,10,Huang High School,52,97
168,Joseph Morales III,M,10,Huang High School,94,57
169,Aaron West,M,10,Huang High School,73,84
170,James Combs,M,10,Huang High School,86,75
171,Curtis Garner,M,10,Huang High School,64,88
172,Sarah Miller,F,10,Huang High School,51,89
173,Samantha Thomas,F,10,Huang High School,57,91
174,Robert Atkins,M,9,Huang High School,76,77
175,Alexis Crawford,M,10,Huang High School,74,69
176,Ryan Maddox,M,11,Huang High School,86,86
177,Jonathan Meyer,M,9,Huang High School,66,76
178,Donna Wagner,F,10,Huang High School,97,60
179,William Kennedy,M,11,Huang High School,58,65
